== ID ==,== Velocity (Kh/h) ==,== Atual route ==,== Distance traveled(m) ==,== Destination ==,== Distance from destination(m) ==,== TYPE ==,== Batery level(%) ==,== timestamp ==
veh_1,0.0,-E215,0.0,E104,439.9,ElectricBus,31.3,17.5
veh_1,1.6,-E215,0.2,E104,439.7,ElectricBus,31.3,18.0
veh_1,2.7,-E215,0.6,E104,439.3,ElectricBus,31.3,18.5
veh_1,4.1,-E215,1.2,E104,438.8,ElectricBus,31.3,19.0
veh_1,5.1,-E215,1.9,E104,438.0,ElectricBus,31.3,19.5
veh_1,6.1,-E215,2.7,E104,437.2,ElectricBus,31.3,20.0
veh_1,7.3,-E215,3.7,E104,436.2,ElectricBus,31.2,20.5
veh_1,8.9,-E215,5.0,E104,435.0,ElectricBus,31.2,21.0
veh_1,10.5,-E215,6.4,E104,433.5,ElectricBus,31.2,21.5
veh_1,12.0,-E215,8.1,E104,431.8,ElectricBus,31.2,22.0
veh_1,13.7,-E215,10.0,E104,429.9,ElectricBus,31.2,22.5
veh_1,14.8,-E215,12.0,E104,427.9,ElectricBus,31.2,23.0
veh_1,16.5,-E215,14.3,E104,425.6,ElectricBus,31.2,23.5
veh_1,17.4,-E215,16.7,E104,423.2,ElectricBus,31.2,24.0
veh_1,18.8,-E215,19.4,E104,420.6,ElectricBus,31.2,24.5
veh_1,20.5,-E215,22.2,E104,417.7,ElectricBus,31.2,25.0
veh_1,21.4,-E215,25.2,E104,414.7,ElectricBus,31.2,25.5
veh_1,28.2,-E201,42.4,E104,397.5,ElectricBus,31.1,28.0
veh_1,29.8,-E201,46.5,E104,393.4,ElectricBus,31.0,28.5
veh_1,31.5,-E201,50.9,E104,389.0,ElectricBus,31.0,29.0
veh_1,32.4,-E201,55.4,E104,384.5,ElectricBus,31.0,29.5
veh_1,33.4,-E201,60.1,E104,379.9,ElectricBus,31.0,30.0
veh_1,34.4,-E201,64.8,E104,375.1,ElectricBus,30.9,30.5
veh_1,35.4,-E201,69.8,E104,370.2,ElectricBus,30.9,31.0
veh_1,30.7,-E201,74.0,E104,365.9,ElectricBus,31.0,31.5
veh_1,23.5,-E201,77.3,E104,362.6,ElectricBus,31.0,32.0
veh_1,28.3,-E200,92.3,E104,347.6,ElectricBus,31.0,34.0
veh_1,29.6,-E200,96.4,E104,343.5,ElectricBus,30.9,34.5
veh_1,31.1,-E200,100.8,E104,339.1,ElectricBus,30.9,35.0
veh_1,32.3,-E200,105.2,E104,334.7,ElectricBus,30.9,35.5
veh_1,33.7,-E200,109.9,E104,330.0,ElectricBus,30.8,36.0
veh_1,34.9,-E200,114.8,E104,325.1,ElectricBus,30.8,36.5
veh_1,31.2,-E200,119.1,E104,320.8,ElectricBus,30.9,37.0
veh_1,24.4,-E200,122.5,E104,317.4,ElectricBus,30.9,37.5
veh_1,17.5,-E200,124.9,E104,315.0,ElectricBus,31.0,38.0
veh_1,28.3,-E102,151.0,E104,288.9,ElectricBus,30.8,42.0
veh_1,30.1,-E102,155.2,E104,284.7,ElectricBus,30.8,42.5
veh_1,31.6,-E102,159.6,E104,280.3,ElectricBus,30.8,43.0
veh_1,32.5,-E102,164.1,E104,275.8,ElectricBus,30.8,43.5
veh_1,34.2,-E102,168.9,E104,271.0,ElectricBus,30.8,44.0
veh_1,35.2,-E102,173.8,E104,266.2,ElectricBus,30.7,44.5
veh_1,36.5,-E102,178.8,E104,261.1,ElectricBus,30.7,45.0
veh_1,37.9,-E102,184.1,E104,255.8,ElectricBus,30.7,45.5
veh_1,39.2,-E102,189.5,E104,250.4,ElectricBus,30.7,46.0
veh_1,40.7,-E102,195.2,E104,244.7,ElectricBus,30.6,46.5
veh_1,42.5,-E102,201.1,E104,238.8,ElectricBus,30.6,47.0
veh_1,44.2,-E102,207.2,E104,232.7,ElectricBus,30.6,47.5
veh_1,45.4,-E102,213.5,E104,226.4,ElectricBus,30.6,48.0
veh_1,46.7,-E102,220.0,E104,219.9,ElectricBus,30.5,48.5
veh_1,47.7,-E102,226.6,E104,213.3,ElectricBus,30.5,49.0
veh_1,49.0,-E102,233.4,E104,206.5,ElectricBus,30.5,49.5
veh_1,49.6,-E14,261.0,E104,178.9,ElectricBus,30.4,51.5
veh_1,46.0,-E14,267.4,E104,172.5,ElectricBus,30.5,52.0
veh_1,38.8,-E14,272.8,E104,167.2,ElectricBus,30.6,52.5
veh_1,31.7,-E14,277.2,E104,162.8,ElectricBus,30.6,53.0
veh_1,24.5,-E14,280.6,E104,159.3,ElectricBus,30.7,53.5
veh_1,26.3,-E14,284.2,E104,155.7,ElectricBus,30.7,54.0
veh_1,34.0,E13,309.9,E104,130.0,ElectricBus,30.6,57.0
veh_1,35.7,E13,314.8,E104,125.1,ElectricBus,30.6,57.5
veh_1,37.3,E13,320.0,E104,119.9,ElectricBus,30.5,58.0
veh_1,38.4,E13,325.3,E104,114.6,ElectricBus,30.5,58.5
veh_1,44.8,E104,354.8,E104,85.2,ElectricBus,30.4,61.0
