== ID ==,== Velocity (Kh/h) ==,== Atual route ==,== Distance traveled(m) ==,== Destination ==,== Distance from destination(m) ==,== TYPE ==,== Batery level(%) ==,== timestamp ==
veh_0,0.0,E44,0.0,E116,1080.9,evehicle,28.7,399.0
veh_0,4.0,E44,0.6,E116,1080.3,evehicle,28.7,399.5
veh_0,6.5,E44,1.5,E116,1079.4,evehicle,28.7,400.0
veh_0,8.9,E44,2.7,E116,1078.2,evehicle,28.7,400.5
veh_0,12.8,E44,4.5,E116,1076.4,evehicle,28.7,401.0
veh_0,16.9,E44,6.8,E116,1074.1,evehicle,28.7,401.5
veh_0,19.5,E44,9.5,E116,1071.4,evehicle,28.7,402.0
veh_0,23.3,E44,12.8,E116,1068.1,evehicle,28.7,402.5
veh_0,27.7,E44,16.6,E116,1064.3,evehicle,28.6,403.0
veh_0,32.1,E44,21.1,E116,1059.8,evehicle,28.6,403.5
veh_0,36.2,E44,26.1,E116,1054.8,evehicle,28.6,404.0
veh_0,39.1,E44,31.5,E116,1049.4,evehicle,28.6,404.5
veh_0,31.0,E44,35.8,E116,1045.1,evehicle,28.6,405.0
veh_0,22.6,E75,48.8,E116,1032.1,evehicle,28.6,407.0
veh_0,26.9,E75,52.6,E116,1028.3,evehicle,28.6,407.5
veh_0,29.5,E75,56.7,E116,1024.2,evehicle,28.6,408.0
veh_0,33.3,E75,61.3,E116,1019.6,evehicle,28.6,408.5
veh_0,36.8,E75,66.4,E116,1014.5,evehicle,28.6,409.0
veh_0,40.3,E75,72.0,E116,1008.9,evehicle,28.6,409.5
veh_0,40.6,E75,77.6,E116,1003.3,evehicle,28.6,410.0
veh_0,32.5,E75,82.1,E116,998.8,evehicle,28.6,410.5
veh_0,23.9,-E48,92.0,E116,988.9,evehicle,28.6,412.0
veh_0,28.0,-E48,95.9,E116,985.0,evehicle,28.6,412.5
veh_0,31.7,-E48,100.3,E116,980.6,evehicle,28.6,413.0
veh_0,34.3,-E48,105.1,E116,975.8,evehicle,28.6,413.5
veh_0,37.6,-E48,110.3,E116,970.6,evehicle,28.6,414.0
veh_0,40.1,-E48,115.9,E116,965.0,evehicle,28.6,414.5
veh_0,43.5,-E48,121.9,E116,959.0,evehicle,28.5,415.0
veh_0,50.6,-E83,149.4,E116,931.5,evehicle,28.5,417.0
veh_0,52.5,-E83,156.7,E116,924.2,evehicle,28.5,417.5
veh_0,51.8,-E83,163.9,E116,917.0,evehicle,28.5,418.0
veh_0,50.8,-E83,171.0,E116,909.9,evehicle,28.5,418.5
veh_0,44.1,-E83,177.1,E116,903.8,evehicle,28.5,419.0
veh_0,36.0,-E83,182.1,E116,898.8,evehicle,28.5,419.5
veh_0,27.9,-E83,186.0,E116,894.9,evehicle,28.6,420.0
